subject_ID,subject_index,condition,block,X,Ntrials,posterior_prob,choice_prob
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,1310.0,15.0,0.8881842302218831,0.8
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,1400.0,5.0,0.9522732789657962,0.6
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2012.0,1.0,0.386863179846857,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2021.0,3.0,0.5573116337622926,0.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2030.0,3.0,0.7152527510491986,0.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2102.0,1.0,0.6131368201531431,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2111.0,7.0,0.7597469266479578,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2120.0,8.0,0.86319311139679,0.375
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2201.0,4.0,0.8881842302218831,0.5
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2210.0,13.0,0.9406490568972323,0.5384615384615384
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,2300.0,7.0,0.975496632449664,0.5714285714285714
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,3011.0,1.0,0.86319311139679,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,3020.0,2.0,0.9264124438824265,0.5
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,3101.0,2.0,0.9406490568972324,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,3110.0,5.0,0.9693465699682845,0.4
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,3200.0,4.0,0.9875672647455577,1.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,4010.0,1.0,0.9843983377581704,0.0
636da58a0d76bbb9167dbf3e,2.0,low_reward,1.0,4100.0,1.0,0.9937299876585661,1.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,14.0,1.0,0.006270012341433836,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,23.0,4.0,0.012432735254442401,0.75
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,32.0,7.0,0.024503367550335983,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,41.0,5.0,0.047726721034203896,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,50.0,2.0,0.0909090909090909,0.5
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,104.0,1.0,0.015601662241829593,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,113.0,5.0,0.0306534300317155,0.4
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,122.0,13.0,0.05935094310276758,0.46153846153846156
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,131.0,15.0,0.11181576977811694,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,140.0,6.0,0.20076000891310178,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,203.0,2.0,0.0735875561175735,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,212.0,9.0,0.13680688860321,0.6666666666666666
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,221.0,17.0,0.24025307335204216,0.4117647058823529
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,230.0,11.0,0.38686317984685703,0.0
636da58a0d76bbb9167dbf3e,2.0,high_reward,2.0,302.0,3.0,0.2847472489508014,0.6666666666666666
